fiche.date_expedition;fiche_enqueteur.date;crabe.taille
2021-07-21;2021-07-05;109
2021-07-21;2021-07-05;110
2021-07-21;2021-07-05;110
2021-07-21;2021-07-05;110
2021-07-21;2021-07-05;110
2021-07-21;2021-07-05;111
2021-07-21;2021-07-05;111
2021-07-21;2021-07-05;113
2021-07-21;2021-07-05;114
2021-07-21;2021-07-05;114
2021-07-21;2021-07-05;115
2021-07-21;2021-07-05;115
2021-07-21;2021-07-05;116
2021-07-21;2021-07-05;117
2021-07-21;2021-07-05;117
2021-07-21;2021-07-05;117
2021-07-21;2021-07-05;117
2021-07-21;2021-07-05;118
2021-07-21;2021-07-05;118
2021-07-21;2021-07-05;119
2021-07-21;2021-07-05;119
2021-07-21;2021-07-05;119
2021-07-21;2021-07-05;119
2021-07-21;2021-07-05;120
2021-07-21;2021-07-05;120
2021-07-21;2021-07-05;120
2021-07-21;2021-07-05;120
2021-07-21;2021-07-05;120
2021-07-21;2021-07-05;130
2021-07-21;2021-07-05;130
2021-07-21;2021-07-05;133
2021-07-21;2021-07-05;133
2021-07-21;2021-07-05;134
2021-07-21;2021-07-05;140
2021-07-21;2021-07-05;144
2021-07-21;2021-07-05;144
2021-07-21;2021-07-05;144
2021-07-21;2021-07-05;150
2021-07-21;2021-07-05;151
2021-07-21;2021-07-05;155
2021-07-21;2021-07-05;159
2021-07-21;2021-07-05;160
2021-07-21;2021-07-05;160
2021-07-21;2021-07-05;160
2021-07-21;2021-07-06;80
2021-07-21;2021-07-06;82
2021-07-21;2021-07-06;82
2021-07-21;2021-07-06;86
2021-07-21;2021-07-06;90
2021-07-21;2021-07-06;91
2021-07-21;2021-07-06;91
2021-07-21;2021-07-06;92
2021-07-21;2021-07-06;93
2021-07-21;2021-07-06;93
2021-07-21;2021-07-06;94
2021-07-21;2021-07-06;95
2021-07-21;2021-07-06;96
2021-07-21;2021-07-06;96
2021-07-21;2021-07-06;97
2021-07-21;2021-07-06;99
2021-07-21;2021-07-06;100
2021-07-21;2021-07-06;101
2021-07-21;2021-07-06;101
2021-07-21;2021-07-06;102
2021-07-21;2021-07-06;103
2021-07-21;2021-07-06;104
2021-07-21;2021-07-06;104
2021-07-21;2021-07-06;105
2021-07-21;2021-07-06;105
2021-07-21;2021-07-06;106
2021-07-21;2021-07-06;106
2021-07-21;2021-07-06;106
2021-07-21;2021-07-06;107
2021-07-21;2021-07-06;109
2021-07-21;2021-07-06;109
