zone_corecrabe.nom;region.nom;district.nom;commune.nom;fokontany.nom;village.nom;fiche.date_expedition;fiche_enqueteur.date;fiche_enqueteur.participant_individu;fiche_enqueteur.participant_nombre;fiche_enqueteur.capture_poids;fiche_enqueteur.crabe_consomme_poids;fiche_enqueteur.crabe_consomme_nombre;fiche_enqueteur.collecte_poids1;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_poids2;fiche_enqueteur.collecte_prix2;fiche_enqueteur.marche_local_poids;fiche_enqueteur.marche_local_prix
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-27;2021-08-21;seul;0;5.5;1;5;4.5;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-27;2021-08-22;seul;0;5;0;0;5;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-27;2021-08-22;seul;0;12;2;10;10;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-27;2021-08-23;seul;0;1.5;0;0;1.5;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-27;2021-08-23;seul;0;4.5;0.5;3;4;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-27;2021-08-24;seul;0;5;0;0;5;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-27;2021-08-24;seul;0;5.5;1.5;5;4;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-27;2021-08-25;seul;0;1.5;0;0;1.5;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-27;2021-08-25;seul;0;11.5;1.5;10;10;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-04-14;seul;0;24;0;0;24;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-04-16;seul;0;17;0;0;17;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-04-16;seul;0;25;0;0;25;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-04-16;seul;0;30;0;0;15;2000;15;2500;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-05-07;amis;1;20;0;0;20;2000;;;0;400
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-05-07;seul;0;20;0;;20;2000;;;0;2000
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-05-29;seul;0;17;0;0;17;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-05-29;seul;0;20;0;0;20;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-01;seul;0;15;0;;15;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-01;seul;0;15;0;;15;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-01;seul;0;17;0;;17;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-01;seul;0;25;0;;25;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-01;seul;0;30;0;;30;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-01;seul;0;37;0;;37;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-03;seul;0;15;0;;15;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-03;seul;0;17;0;;17;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-03;seul;0;20;0;;20;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-03;seul;0;25;0;;25;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-03;seul;0;25;0;;25;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-03;seul;0;28;2;;26;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-05;seul;0;15;0;;15;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-05;seul;0;19;0;;19;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-05;seul;0;19;0;;19;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-05;seul;0;22;0;;22;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-06;seul;0;17;0;;17;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-06;seul;0;19;0;;19;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-06;seul;0;21;0;;21;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-06;seul;0;22;0;;22;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-07;seul;0;19;0;;19;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-07;seul;0;25;0;;25;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-07;seul;0;25;0;;25;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-07;seul;0;25;0;;25;3000;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-07;seul;0;30;0;;30;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-07;seul;0;32;0;;32;3000;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-09;seul;0;17;0;;17;3000;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-09;seul;0;18;0;;18;3000;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-09;seul;0;27;0;;27;3000;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-09;seul;0;29;0;;29;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-11;seul;0;2.5;0.5;2;2;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-11;seul;0;5.5;0.5;4;5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-11;seul;0;19;2;;17;3000;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-11;seul;0;25;0;;25;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-11;seul;0;27;0;;27;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-11;seul;0;30;0;;30;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-11;seul;0;32;0;;32;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-11;seul;0;37;2;;35;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-13;seul;0;27;3;;24;3000;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-13;seul;0;35;0;;35;3000;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-13;seul;0;47;1;;46;3000;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-13;seul;0;50;0;;50;3000;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-14;seul;0;17;0;0;7;3000;10;2500;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-14;seul;0;27;0;0;27;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-14;seul;0;29;0;0;19;3000;10;2500;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-14;seul;0;30;0;0;12;2600;18;3000;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-14;seul;0;32;0;0;12;3000;20;2500;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-14;seul;0;39;0;0;39;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-16;seul;0;23;0;0;23;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-16;seul;0;35;0;0;15;3000;20;2500;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-18;seul;0;19;0;0;19;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-18;seul;0;26;0;0;26;3000;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;;2021-06-18;seul;0;30;0;0;10;2500;20;3000;0;0
