zone_corecrabe.nom,region.nom,district.nom,commune.nom,fokontany.nom,village.nom,fiche.date_expedition,fiche_enqueteur.date,fiche_enqueteur.participant_nombre,fiche_enqueteur.capture_poids,fiche_enqueteur.crabe_consomme_poids,fiche_enqueteur.collecte_poids1,nombre_sortie_capture,echantillon.trie,echantillon.taille_absente,echantillon.taille_absente_autre
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-30,0,5,1,4,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-08-02,0,3,0,3,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-08-02,0,4.5,0.5,4,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-26,2021-08-02,0,5,0,5,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-26,2021-08-02,0,5,1,4,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-26,2021-08-03,0,5,0,5,3,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-26,2021-08-03,0,5,1,4,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-26,2021-08-04,0,4,2,2,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-26,2021-08-05,0,4,0,4,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-26,2021-08-05,0,5,0,5,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-26,2021-08-06,0,4,1,3,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-26,2021-08-06,0,4,1,3,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-26,2021-08-07,0,4,0,4,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,,2021-08-05,1,10,2,5,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-15,0,4.5,0.5,3,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-15,0,6,1,4,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-15,0,6,1,5,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-15,0,8,1,5,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-15,0,12,2,9,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-15,0,12,2,10,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-15,0,13.3,1.3,10,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-16,0,6.5,0.5,6,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-16,0,9.3,2.3,7,2,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-16,0,13,1,10,4,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-16,0,13,2,8,2,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-16,0,15,1,12,4,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-17,0,6.5,0.5,6,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-17,0,13,1,11,3,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-17,0,14.5,0.5,13,2,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-18,0,8.53,0.53,7,2,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-18,0,10.3,2.3,7,2,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-23,2021-06-19,0,6,1,5,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-30,2021-06-28,0,12,0,9,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-06-30,2021-06-28,0,14.89,0.89,10,3,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-07-21,2021-07-13,0,3,0,3,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-07-21,2021-07-13,0,4,0,3,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-07-21,2021-07-13,0,8,0,5,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-07-21,2021-07-13,0,9,0,7,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-07-21,2021-07-13,0,9,0,8,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-07-21,2021-07-13,0,13,1,9,2,true,plus petit,
