village.nom;fiche.date_expedition;fiche_enqueteur.date;crabe.taille
Kaday;2021-08-11;2021-08-10;109
Kaday;2021-08-11;2021-08-10;109
Kaday;2021-08-11;2021-08-10;109
Kaday;2021-08-11;2021-08-10;110
Kaday;2021-08-11;2021-08-10;110
Kaday;2021-08-11;2021-08-10;110
Kaday;2021-08-11;2021-08-10;110
Kaday;2021-08-11;2021-08-10;110
Kaday;2021-08-11;2021-08-10;111
Kaday;2021-08-11;2021-08-10;112
Kaday;2021-08-11;2021-08-10;112
Kaday;2021-08-11;2021-08-10;113
Kaday;2021-08-11;2021-08-10;113
Kaday;2021-08-11;2021-08-10;113
Kaday;2021-08-11;2021-08-10;114
Kaday;2021-08-11;2021-08-10;114
Kaday;2021-08-11;2021-08-10;114
Kaday;2021-08-11;2021-08-10;114
Kaday;2021-08-11;2021-08-10;114
Kaday;2021-08-11;2021-08-10;115
Kaday;2021-08-11;2021-08-10;115
Kaday;2021-08-11;2021-08-10;115
Kaday;2021-08-11;2021-08-10;115
Kaday;2021-08-11;2021-08-10;115
Kaday;2021-08-11;2021-08-10;116
Kaday;2021-08-11;2021-08-10;117
Kaday;2021-08-11;2021-08-10;117
Kaday;2021-08-11;2021-08-10;118
Kaday;2021-08-11;2021-08-10;118
Kaday;2021-08-11;2021-08-10;118
Kaday;2021-08-11;2021-08-10;118
Kaday;2021-08-11;2021-08-10;118
Kaday;2021-08-11;2021-08-10;119
Kaday;2021-08-11;2021-08-10;119
Kaday;2021-08-11;2021-08-10;119
Kaday;2021-08-11;2021-08-10;120
Kaday;2021-08-11;2021-08-10;120
Kaday;2021-08-11;2021-08-10;120
Kaday;2021-08-11;2021-08-10;120
Kaday;2021-08-11;2021-08-10;121
Kaday;2021-08-11;2021-08-10;124
Kaday;2021-08-11;2021-08-10;129
Kaday;2021-08-11;2021-08-10;130
Kaday;2021-08-11;2021-08-10;130
Kaday;2021-08-11;2021-08-10;130
Kaday;2021-08-11;2021-08-10;131
Kaday;2021-08-11;2021-08-10;131
Kaday;2021-08-11;2021-08-10;132
Kaday;2021-08-11;2021-08-10;133
Kaday;2021-08-11;2021-08-10;139
Kaday;2021-08-11;2021-08-10;140
Kaday;2021-08-11;2021-08-10;140
Kaday;2021-08-11;2021-08-10;140
Kaday;2021-08-11;2021-08-10;141
Kaday;2021-08-11;2021-08-10;143
Kaday;2021-08-11;2021-08-10;145
Kaday;2021-08-11;2021-08-10;145
Kaday;2021-08-11;2021-08-10;149
Kaday;2021-08-11;2021-08-10;150
Kaday;2021-08-11;2021-08-10;150
Kaday;2021-08-11;2021-08-10;150
Kaday;2021-08-11;2021-08-10;151
Kaday;2021-08-11;2021-08-10;155
Kaday;2021-08-11;2021-08-10;160
Kaday;2021-08-11;2021-08-11;79
Kaday;2021-08-11;2021-08-11;81
Kaday;2021-08-11;2021-08-11;82
Kaday;2021-08-11;2021-08-11;85
Kaday;2021-08-11;2021-08-11;90
Kaday;2021-08-11;2021-08-11;91
Kaday;2021-08-11;2021-08-11;92
Kaday;2021-08-11;2021-08-11;93
Kaday;2021-08-11;2021-08-11;94
Kaday;2021-08-11;2021-08-11;95
Kaday;2021-08-11;2021-08-11;97
Kaday;2021-08-11;2021-08-11;99
Kaday;2021-08-11;2021-08-11;101
Kaday;2021-08-11;2021-08-11;102
Kaday;2021-08-11;2021-08-11;103
Kaday;2021-08-11;2021-08-11;104
Kaday;2021-08-11;2021-08-11;104
Kaday;2021-08-11;2021-08-11;105
Kaday;2021-08-11;2021-08-11;107
Kaday;2021-08-11;2021-08-11;107
Kaday;2021-08-11;2021-08-11;107
Kaday;2021-08-11;2021-08-11;108
Kaday;2021-08-11;2021-08-11;108
Kaday;2021-08-11;2021-08-11;109
Kaday;2021-08-11;2021-08-11;109
Kaday;2021-08-11;2021-08-11;110
Kaday;2021-08-11;2021-08-11;110
Kaday;2021-08-11;2021-08-11;110
Kaday;2021-08-11;2021-08-11;110
Kaday;2021-08-11;2021-08-11;111
Kaday;2021-08-11;2021-08-11;111
Kaday;2021-08-11;2021-08-11;112
Kaday;2021-08-11;2021-08-11;112
Kaday;2021-08-11;2021-08-11;113
Kaday;2021-08-11;2021-08-11;114
Kaday;2021-08-11;2021-08-11;114
Kaday;2021-08-11;2021-08-11;115
