zone_corecrabe.nom,village.nom,fiche_acheteur.date,fiche_acheteur.collecte_poids1,nombre_sortie_vente
Mahajanga,Marotia,2022-09-11,6,3
Mahajanga,Marotia,2022-09-11,7,3
Mahajanga,Marotia,2022-09-11,8,3
Mahajanga,Marotia,2022-09-11,10,4
Mahajanga,Marotia,2022-09-12,8,3
Mahajanga,Marotia,2022-09-12,10,2
Mahajanga,Marotia,2022-09-12,10,3
Mahajanga,Marotia,2022-09-12,12,4
Mahajanga,Marotia,2022-09-12,15,3
Mahajanga,Marotia,2022-09-18,8,2
Mahajanga,Marotia,2022-09-18,8,3
Mahajanga,Marotia,2022-09-18,11,3
Mahajanga,Marotia,2022-09-18,12,3
Mahajanga,Marotia,2022-09-18,14,2
Mahajanga,Marotia,2022-09-19,5,3
Mahajanga,Marotia,2022-09-19,7,3
Mahajanga,Marotia,2022-09-19,8,3
Mahajanga,Marotia,2022-09-19,10,2
Mahajanga,Marotia,2022-09-19,11,2
Mahajanga,Marotia,2022-09-20,7,3
Mahajanga,Marotia,2022-09-20,8,2
Mahajanga,Marotia,2022-09-20,9,3
Mahajanga,Marotia,2022-09-20,10,2
Mahajanga,Marotia,2022-09-20,11,3
Mahajanga,Marotia,2022-09-21,5,2
Mahajanga,Marotia,2022-09-21,6,2
Mahajanga,Marotia,2022-09-21,7,3
Mahajanga,Marotia,2022-09-21,8,3
Mahajanga,Marotia,2022-09-21,10,3
Mahajanga,Marotia,2022-09-25,5,3
Mahajanga,Marotia,2022-09-25,6,3
Mahajanga,Marotia,2022-09-25,7,3
Mahajanga,Marotia,2022-09-25,8,2
Mahajanga,Marotia,2022-09-25,12,3
Mahajanga,Marotia,2022-09-26,5,2
Mahajanga,Marotia,2022-09-26,6,3
Mahajanga,Marotia,2022-09-26,7,2
Mahajanga,Marotia,2022-09-26,8,3
Mahajanga,Marotia,2022-09-26,10,3
Mahajanga,Marotia,2022-09-27,5,2
Mahajanga,Marotia,2022-09-27,6,3
Mahajanga,Marotia,2022-09-27,8,3
Mahajanga,Marotia,2022-09-27,10,4
Mahajanga,Marotia,2022-09-27,12,3
Mahajanga,Marotia,2022-09-28,4,2
Mahajanga,Marotia,2022-09-28,5,3
Mahajanga,Marotia,2022-09-28,7,3
Mahajanga,Marotia,2022-09-28,10,3
Mahajanga,Marotia,2022-09-28,13,3
Mahajanga,Marotia,2022-10-02,6,2
Mahajanga,Marotia,2022-10-02,6,2
Mahajanga,Marotia,2022-10-02,8,3
Mahajanga,Marotia,2022-10-02,10,3
Mahajanga,Marotia,2022-10-02,12,3
Mahajanga,Marotia,2022-10-02,12,4
Mahajanga,Marotia,2022-10-03,5,2
Mahajanga,Marotia,2022-10-03,6,3
Mahajanga,Marotia,2022-10-03,7,2
Mahajanga,Marotia,2022-10-03,8,2
Mahajanga,Marotia,2022-10-03,10,3
Mahajanga,Marotia,2022-10-03,10,3
Mahajanga,Marotia,2022-10-04,5,2
Mahajanga,Marotia,2022-10-04,6,2
Mahajanga,Marotia,2022-10-04,8,3
Mahajanga,Marotia,2022-10-04,9,3
Mahajanga,Marotia,2022-10-04,14,3
Mahajanga,Marotia,2022-10-05,5,2
Mahajanga,Marotia,2022-10-05,6,2
Mahajanga,Marotia,2022-10-05,10,3
Mahajanga,Marotia,2022-10-05,11,3
Mahajanga,Marotia,2022-10-05,15,4
Mahajanga,Marotia,2022-10-12,6,2
Mahajanga,Marotia,2022-10-12,6,2
Mahajanga,Marotia,2022-10-12,8,3
Mahajanga,Marotia,2022-10-12,10,3
Mahajanga,Marotia,2022-10-13,5,2
Mahajanga,Marotia,2022-10-13,6,3
Mahajanga,Marotia,2022-10-13,7,2
Mahajanga,Marotia,2022-10-13,8,2
Mahajanga,Marotia,2022-10-13,10,3
Mahajanga,Marotia,2022-10-14,5,2
Mahajanga,Marotia,2022-10-14,6,2
Mahajanga,Marotia,2022-10-14,8,3
Mahajanga,Marotia,2022-10-14,9,3
