village.nom;fiche.date_expedition;fiche_enqueteur.date
Boringeny;2021-07-03;2021-06-25
Boringeny;2021-07-03;2021-06-25
Boringeny;2021-07-03;2021-06-25
Boringeny;2021-07-03;2021-06-28
Boringeny;2021-07-03;2021-06-28
Boringeny;2021-07-03;2021-06-28
Boringeny;2021-07-03;2021-06-28
Boringeny;2021-07-03;2021-06-29
Boringeny;2021-07-03;2021-06-29
Boringeny;2021-07-21;2021-07-04
Boringeny;2021-07-21;2021-07-04
Boringeny;2021-07-21;2021-07-04
Boringeny;2021-07-21;2021-07-04
Boringeny;2021-07-21;2021-07-04
Boringeny;2021-07-21;2021-07-05
Boringeny;2021-07-21;2021-07-05
Boringeny;2021-07-21;2021-07-05
Boringeny;2021-07-21;2021-07-05
Boringeny;2021-07-21;2021-07-05
Boringeny;2021-07-21;2021-07-06
Boringeny;2021-07-21;2021-07-06
Boringeny;2021-07-21;2021-07-06
Boringeny;2021-07-21;2021-07-06
Boringeny;2021-07-21;2021-07-07
Boringeny;2021-07-21;2021-07-07
Boringeny;2021-07-21;2021-07-07
Boringeny;2021-07-21;2021-07-08
Boringeny;2021-07-21;2021-07-08
Boringeny;2021-07-21;2021-07-08
Boringeny;2021-07-21;2021-07-09
Boringeny;2021-07-21;2021-07-09
Boringeny;2021-07-21;2021-07-09
Boringeny;2021-07-21;2021-07-09
Boringeny;2021-07-21;2021-07-10
Boringeny;2021-07-21;2021-07-10
Boringeny;2021-07-21;2021-07-10
Boringeny;2021-07-21;2021-07-12
Boringeny;2021-07-21;2021-07-12
Boringeny;2021-07-21;2021-07-12
Boringeny;2021-07-21;2021-07-12
Boringeny;2021-07-21;2021-07-13
Boringeny;2021-07-21;2021-07-13
Boringeny;2021-07-21;2021-07-13
Boringeny;2021-07-21;2021-07-13
Boringeny;2021-07-21;2021-07-14
Boringeny;2021-07-21;2021-07-14
Boringeny;2021-07-21;2021-07-14
Boringeny;2021-07-21;2021-07-15
Boringeny;2021-07-21;2021-07-15
Boringeny;2021-07-21;2021-07-15
Boringeny;2021-07-21;2021-07-16
Boringeny;2021-07-21;2021-07-16
Boringeny;2021-07-21;2021-07-16
Boringeny;2021-07-21;2021-07-16
Boringeny;2021-07-21;2021-07-17
Boringeny;2021-07-21;2021-07-17
Boringeny;2021-07-21;2021-07-17
Boringeny;2021-07-21;2021-07-17
Boringeny;2021-07-21;2021-07-19
Boringeny;2021-07-21;2021-07-19
Boringeny;2021-07-21;2021-07-19
